feature,importance,std
runtime_hours,0.37444067807702364,0.00815189882989988
hour_cos,0.17584212992162834,0.011511264767754667
vibration_mm_s,0.1385431321694473,0.005178453588516616
filter_clog,0.08479442471494487,0.0031855905541616296
filter_clog_mean_6h,0.03216186061740341,0.0013342789146484281
motor_temp_mean_6h,0.028226358643318194,0.002860721442680908
vibration_mm_s_mean_2h,0.02670506431234252,0.0038447129496339194
filter_clog_mean_30m,0.02287266548006881,0.0011132230687967237
filter_clog_mean_2h,0.022408132163957893,0.0016412261609261508
vibration_mm_s_slope_6h,0.02117852556361195,0.0024519786656510343
power_draw_w_mean_6h,0.018650797492900863,0.0029969748055102986
vibration_mm_s_mean_6h,0.012712765171313811,0.002080556303871483
hour_sin,0.00922702190438498,0.001716053986954174
occupancy,0.006655039272371388,0.0003351775227395026
motor_temp_mean_30m,0.00511816956547575,0.0010301533258646588
vibration_mm_s_slope_2h,0.00418571333897697,0.0009791205822961278
vibration_mm_s_mean_30m,0.004087696357174009,0.0013161892738168587
outdoor_temp,0.003109409844465727,0.0002672039943570923
power_per_rpm,0.0027073311364238075,0.0008259547020220306
filter_clog_slope_6h,0.002087381702346103,0.0009030442051784016
ac_power_pct_mean_6h,0.001625266075148235,0.00030004679061750337
power_draw_w,0.0010461632312468883,0.00019608947828685943
power_draw_w_slope_6h,0.0010248127059708568,0.00016528535970474322
power_draw_w_mean_30m,0.000885862935340409,0.0003514288455534775
power_draw_w_mean_2h,0.0008349669629245104,0.00035120632413892166
