filter_clog_pct,fan_speed_pct,vibration_mm_s,bearing_temp_c,run_hours,failure_within_7d
0.487753,0.913505,2.19447,61.711004,1179.844188,1
0.811176,0.724681,3.28759,63.223616,5197.735823,1
0.025172,0.893742,1.492565,51.85176,3015.195051,0
0.637881,0.868735,3.756364,65.382704,7291.805479,1
0.357116,0.544001,2.603343,51.532311,3992.871296,1
0.537098,0.280812,3.028616,53.494105,6813.543617,1
0.773063,0.114491,1.72228,47.005423,2018.772498,0
0.000819,0.123021,0.667742,33.12956,78.151771,0
0.642874,0.092894,2.681787,50.826892,7860.565708,0
0.917713,0.99072,3.065447,71.711284,3374.600824,0
0.51125,0.189591,2.966658,46.767516,7587.572783,0
0.219516,0.237303,1.926695,43.058076,4115.938749,0
0.046932,0.68673,2.077542,50.299708,4002.192202,0
0.165663,0.649936,1.348873,48.253821,2698.410763,0
0.701397,0.186849,2.33235,49.155907,3702.812273,0
0.874116,0.716768,3.191538,61.08895,3910.661959,1
0.712484,0.349119,2.680781,52.438708,4831.204659,0
0.826298,0.456827,2.055857,56.063322,2379.917791,0
0.315903,0.718247,2.240062,52.62778,5353.990484,0
0.17698,0.972676,1.411444,54.45519,1618.315633,0
0.370258,0.3835,3.13345,53.950856,8099.370428,0
0.164106,0.896414,2.438638,60.926069,5143.113889,1
0.39677,0.344249,1.929103,45.931865,1657.993862,0
0.737565,0.138661,3.271917,54.943931,7804.56923,1
0.752023,0.584177,2.307311,61.268523,4615.313197,0
0.036733,0.334655,2.807555,46.074394,8305.868223,0
0.288869,0.748314,1.689158,53.341456,3260.303742,0
0.508814,0.52545,1.678476,52.227099,3356.648314,0
0.344987,0.881113,2.932413,64.535447,5959.53515,1
0.336872,0.908347,3.094738,61.21911,8366.88154,1
0.492948,0.440592,1.897167,48.817982,1651.947665,0
0.544351,0.742602,2.084832,56.499413,1760.496201,1
0.347064,0.654461,2.488652,55.562718,3880.55018,0
0.366557,0.955577,1.653614,57.99321,1466.008046,0
0.192638,0.863868,2.551521,58.250471,5178.349714,1
0.663007,0.319061,1.519195,50.64694,1325.160894,0
0.89672,0.919677,3.594184,67.444142,4426.952061,1
0.393006,0.914168,2.969043,62.366722,6348.777977,1
0.147572,0.618194,2.854778,52.966874,8646.685226,0
0.498282,0.683396,3.263475,57.786823,6168.231248,1
0.458541,0.81003,0.883811,59.517099,1129.084692,0
0.149236,0.315553,2.763137,46.575679,7783.932835,0
0.471145,0.094005,2.687648,42.732972,5898.554476,0
0.336058,0.393968,1.290096,45.906858,2513.443559,0
0.034869,0.571256,2.682377,51.159532,6797.296689,0
0.911226,0.576001,3.501705,64.02721,6739.942064,1
0.722113,0.722489,3.435992,65.415158,7107.872648,1
0.484721,0.130037,1.765823,45.092618,4230.700131,0
0.054523,0.86521,1.367627,51.047172,429.768402,0
0.11684,0.174533,1.187385,37.019234,1876.587633,0
0.522811,0.288466,2.656697,48.241593,5671.283056,0
0.747198,0.631466,3.945708,66.418782,7794.418559,1
0.653714,0.855232,2.732734,60.851801,2738.144867,1
0.937211,0.917696,3.037268,67.515494,3879.205265,1
0.585766,0.774389,2.662165,61.246264,3994.643934,0
0.213121,0.479204,1.422306,47.974787,1968.159212,0
0.140054,0.232339,2.273361,43.445268,5764.020556,0
0.001351,0.851218,2.583659,57.6337,6801.185272,0
0.765318,0.168471,1.990524,54.14173,4814.122893,0
0.181634,0.857172,2.560521,56.992174,4672.884886,0
0.294019,0.195668,3.177029,48.942695,8772.670315,1
0.901556,0.378913,2.535333,56.489309,4653.270357,1
0.375382,0.170897,0.790486,38.349355,219.798083,0
0.513377,0.998759,2.588821,61.591809,3238.264738,1
0.203829,0.769144,2.588993,56.5365,5765.637009,1
0.873566,0.851469,3.578664,66.907722,7242.119676,1
0.217866,0.381858,1.897639,47.36237,4845.93626,0
0.624076,0.360904,3.714946,58.276393,8468.368719,1
0.187319,0.201848,1.155192,39.067471,2030.878455,0
0.09815,0.695758,2.680422,53.138242,6335.683478,0
0.004557,0.407875,1.054297,40.529873,512.871151,0
0.876367,0.873134,3.392209,69.226132,4618.143042,0
0.386366,0.970352,2.180344,62.454756,4128.222815,1
0.493968,0.649518,1.583266,53.015674,2290.007384,0
0.659645,0.931923,2.678197,64.228948,3931.318459,1
0.020368,0.221641,2.690556,43.616745,6440.238606,0
0.028429,0.661312,2.602081,51.023985,5855.21288,0
0.386375,0.648616,1.919684,53.223162,3851.624306,0
0.352158,0.963828,2.451104,60.999321,3601.52079,1
0.011445,0.493265,0.658266,40.437001,1109.621757,0
0.384295,0.273104,3.003107,50.572394,8627.186833,0
0.594127,0.31112,3.315659,57.004209,8808.678925,0
0.743651,0.412547,0.820868,50.331953,190.659213,0
0.424423,0.350184,2.515949,47.972759,5494.401921,0
0.422619,0.09115,1.7195,40.400482,2526.293637,0
0.456566,0.964512,1.666489,59.504676,1695.834629,0
0.613408,0.753862,3.564257,63.680471,8408.544881,0
0.220652,0.374101,1.245271,41.047529,154.529266,0
0.812387,0.541665,3.162989,61.815955,7163.466564,1
0.249571,0.610217,1.990553,51.334884,4941.924513,0
0.157166,0.658908,2.632724,52.265117,5684.193439,0
0.609461,0.511156,2.949069,60.060843,7007.535843,1
0.154471,0.837601,2.087463,55.895003,4037.581841,0
0.50706,0.177743,2.322296,44.97032,5810.057473,0
0.643127,0.789521,3.759756,66.807941,8776.059561,1
0.263263,0.286475,3.698579,50.135119,7353.926685,1
0.03483,0.504532,3.223582,49.318551,7037.176501,0
0.137708,0.851634,2.639383,57.376867,6722.316286,1
0.14502,0.792468,2.491462,56.343084,4278.319375,0
0.007955,0.092875,2.42726,38.246038,7119.039389,0
0.846438,0.505815,3.245402,64.024586,7827.209201,1
0.268788,0.104916,2.618035,44.427868,5440.087449,0
0.872804,0.784916,3.585826,66.805803,6354.518575,1
0.017798,0.965813,2.071988,55.30414,2376.031457,0
0.429115,0.236325,1.289957,43.284644,994.031939,0
0.831751,0.654624,1.841623,60.80216,3052.235948,1
0.264189,0.559909,2.145844,50.401552,4701.443194,0
0.170844,0.528987,1.379285,44.175634,2239.095486,0
